loan_id,stage,pd,lgd_estimate,ead_estimate,discount_factor,ecl,pool_id
LN-0000001,2,0.41045783009241776,0.0,20281.485796,0.8635908347931472,0.0,POOL-01
LN-0000002,1,0.034861864352558,0.0,8815.41526775,0.9446366744694051,0.0,POOL-07
LN-0000003,1,0.0487914992614413,0.85,1990.1116775,0.9209649399925628,76.01,POOL-01
LN-0000004,1,0.0684102561567602,0.0,402001.9696665833,0.5528674513024834,0.0,POOL-01
LN-0000005,1,0.0671622063842731,0.45,0.0,0.8628511072695406,0.0,POOL-06
LN-0000006,1,0.0456640053460011,0.0,13483.670882,0.8975130619814888,0.0,POOL-04
LN-0000007,1,0.0537179810627773,0.85,0.0,0.9536359933734688,0.0,POOL-06
LN-0000008,1,0.0828097202281656,0.85,0.0,0.8559068073856602,0.0,POOL-04
LN-0000009,2,0.599769465907218,0.0,18226.188210666667,0.8652570089230563,0.0,POOL-06
LN-0000010,1,0.1063026334643531,0.0,17996.857064999997,0.8668923458967328,0.0,POOL-03
LN-0000011,1,0.077822522308295,0.85,0.0,0.9505291167211716,0.0,POOL-01
LN-0000012,1,0.0286485632691864,0.85,0.0,0.958133992335565,0.0,POOL-08
LN-0000013,1,0.0641309298856057,0.0,22259.62525583333,0.9375871652919627,0.0,POOL-01
LN-0000014,1,0.0529464624809923,0.85,0.0,0.9527699174583825,0.0,POOL-01
LN-0000015,3,1.0,0.495,0.0,0.7867278919588195,0.0,POOL-03
LN-0000016,1,0.0491346988224531,0.0,20118.1559425,0.8750399647569077,0.0,POOL-03
LN-0000017,3,1.0,0.495,0.0,0.8609847449035065,0.0,POOL-04
LN-0000018,1,0.0780125884196616,0.0,19316.8807175,0.8803412946123683,0.0,POOL-02
LN-0000019,1,0.0926685479379882,0.0974894837664366,289596.3613433333,0.5241945725588646,1371.44,POOL-07
LN-0000020,1,0.0375345886046516,0.0142040990224704,209532.48173866663,0.6381345365583521,71.29,POOL-07
