loan_id,pool_id,risk_score,risk_classification
LN-0000001,POOL-01,30.2,MODERATE
LN-0000002,POOL-07,15.8,LOW
LN-0000003,POOL-01,19.2,LOW
LN-0000004,POOL-01,15.0,LOW
LN-0000005,POOL-06,21.7,LOW
LN-0000006,POOL-04,12.5,LOW
LN-0000007,POOL-06,26.9,LOW
LN-0000008,POOL-04,20.2,LOW
LN-0000009,POOL-06,33.2,MODERATE
LN-0000010,POOL-03,11.4,LOW
LN-0000011,POOL-01,23.8,LOW
LN-0000012,POOL-08,28.4,LOW
LN-0000013,POOL-01,25.9,LOW
LN-0000014,POOL-01,21.3,LOW
LN-0000015,POOL-03,83.6,CRITICAL
LN-0000016,POOL-03,13.0,LOW
LN-0000017,POOL-04,63.7,HIGH
LN-0000018,POOL-02,13.0,LOW
LN-0000019,POOL-07,18.7,LOW
LN-0000020,POOL-07,15.8,LOW
LN-0000021,POOL-02,17.5,LOW
LN-0000022,POOL-04,19.2,LOW
LN-0000023,POOL-01,21.3,LOW
LN-0000024,POOL-01,18.5,LOW
LN-0000025,POOL-10,18.7,LOW
LN-0000026,POOL-06,24.9,LOW
LN-0000027,POOL-02,69.7,HIGH
LN-0000028,POOL-10,10.8,LOW
LN-0000029,POOL-06,19.9,LOW
LN-0000030,POOL-02,26.5,LOW
LN-0000031,POOL-04,25.1,LOW
LN-0000032,POOL-05,9.1,LOW
LN-0000033,POOL-05,12.2,LOW
LN-0000034,POOL-07,12.0,LOW
LN-0000035,POOL-07,19.1,LOW
LN-0000036,POOL-10,24.8,LOW
LN-0000037,POOL-06,17.2,LOW
LN-0000038,POOL-04,83.1,CRITICAL
LN-0000039,POOL-09,18.4,LOW
LN-0000040,POOL-08,23.8,LOW
LN-0000041,POOL-01,63.8,HIGH
LN-0000042,POOL-10,20.1,LOW
LN-0000043,POOL-07,83.1,CRITICAL
LN-0000044,POOL-06,11.9,LOW
LN-0000045,POOL-02,22.1,LOW
LN-0000046,POOL-01,15.6,LOW
LN-0000047,POOL-10,19.9,LOW
LN-0000048,POOL-10,24.2,LOW
LN-0000049,POOL-04,24.4,LOW
LN-0000050,POOL-05,23.0,LOW
LN-0000051,POOL-04,16.4,LOW
LN-0000052,POOL-04,11.7,LOW
