pool_id,tranche_name,seniority,attachment_point,detachment_point,interest_rate,total_balance,total_ecl,tranche_balance,subordination,tranche_expected_loss,tranche_loss_pct
POOL-01,AAA,1,0.15,1.0,0.04,520529589.59,2260047.56,442450151.1515,0.15,0.0,0.0
POOL-01,AA,2,0.1,0.15,0.06,520529589.59,2260047.56,26026479.479499992,0.1,0.0,0.0
POOL-01,A,3,0.06,0.1,0.08,520529589.59,2260047.56,20821183.583600003,0.06,0.0,0.0
POOL-01,BBB,4,0.03,0.06,0.11,520529589.59,2260047.56,15615887.687699998,0.03,0.0,0.0
POOL-01,Equity,5,0.0,0.03,0.2,520529589.59,2260047.56,15615887.687699998,0.0,2260047.56,0.1447
POOL-02,AAA,1,0.15,1.0,0.04,527476093.8,2038611.59,448354679.73,0.15,0.0,0.0
POOL-02,AA,2,0.1,0.15,0.06,527476093.8,2038611.59,26373804.689999994,0.1,0.0,0.0
POOL-02,A,3,0.06,0.1,0.08,527476093.8,2038611.59,21099043.752000004,0.06,0.0,0.0
POOL-02,BBB,4,0.03,0.06,0.11,527476093.8,2038611.59,15824282.814,0.03,0.0,0.0
POOL-02,Equity,5,0.0,0.03,0.2,527476093.8,2038611.59,15824282.814,0.0,2038611.59,0.1288
POOL-03,AAA,1,0.15,1.0,0.04,534155425.89,2060088.14,454032112.0065,0.15,0.0,0.0
POOL-03,AA,2,0.1,0.15,0.06,534155425.89,2060088.14,26707771.294499993,0.1,0.0,0.0
POOL-03,A,3,0.06,0.1,0.08,534155425.89,2060088.14,21366217.035600003,0.06,0.0,0.0
POOL-03,BBB,4,0.03,0.06,0.11,534155425.89,2060088.14,16024662.7767,0.03,0.0,0.0
POOL-03,Equity,5,0.0,0.03,0.2,534155425.89,2060088.14,16024662.7767,0.0,2060088.14,0.1286
POOL-04,AAA,1,0.15,1.0,0.04,524805706.15,2000936.9,446084850.22749996,0.15,0.0,0.0
POOL-04,AA,2,0.1,0.15,0.06,524805706.15,2000936.9,26240285.307499994,0.1,0.0,0.0
