pool_id,tranche_name,tranche_balance,tranche_expected_loss,allocated_cash,shortfall
POOL-01,AAA,442450151.1515,0.0,442450151.1515,0.0
POOL-01,AA,26026479.479499992,0.0,26026479.479499992,0.0
POOL-01,A,20821183.583600003,0.0,20821183.583600003,0.0
POOL-01,BBB,15615887.687699998,0.0,15615887.687699998,0.0
POOL-01,Equity,15615887.687699998,2260047.56,13355840.127699988,9.313225746154785e-09
POOL-02,AAA,448354679.73,0.0,448354679.73,0.0
POOL-02,AA,26373804.689999998,0.0,26373804.689999998,0.0
POOL-02,A,21099043.752000004,0.0,21099043.752000004,0.0
POOL-02,BBB,15824282.814,0.0,15824282.814,0.0
POOL-02,Equity,15824282.814,2038611.59,13785671.224,0.0
POOL-03,AAA,454032112.0065,0.0,454032112.0065,0.0
POOL-03,AA,26707771.294499997,0.0,26707771.294499997,0.0
POOL-03,A,21366217.035600003,0.0,21366217.035600003,0.0
POOL-03,BBB,16024662.7767,0.0,16024662.7767,0.0
POOL-03,Equity,16024662.7767,2060088.14,13964574.636699999,0.0
POOL-04,AAA,446084850.2275,0.0,446084850.2275,0.0
POOL-04,AA,26240285.307499997,0.0,26240285.307499997,0.0
POOL-04,A,20992228.246000003,0.0,20992228.246000003,0.0
POOL-04,BBB,15744171.1845,0.0,15744171.1845,0.0
POOL-04,Equity,15744171.1845,2000936.9,13743234.284499979,2.0489096641540527e-08
POOL-05,AAA,431598493.3985,0.0,431598493.3985,0.0
POOL-05,AA,25388146.670499995,0.0,25388146.670499995,0.0
POOL-05,A,20310517.33640001,0.0,20310517.33640001,0.0
POOL-05,BBB,15232888.0023,0.0,15232888.0023,0.0
POOL-05,Equity,15232888.0023,1972299.1,13260588.902299972,2.7939677238464355e-08
POOL-06,AAA,462502127.5085,0.0,462502127.5085,0.0
POOL-06,AA,27206007.500499997,0.0,27206007.500499997,0.0
POOL-06,A,21764806.000400003,0.0,21764806.000400003,0.0
POOL-06,BBB,16323604.5003,0.0,16323604.5003,0.0
POOL-06,Equity,16323604.5003,2194122.37,14129482.1303,0.0
POOL-07,AAA,449747771.981,0.0,449747771.981,0.0
POOL-07,AA,26455751.292999998,0.0,26455751.292999998,0.0
POOL-07,A,21164601.034400005,0.0,21164601.034400005,0.0
POOL-07,BBB,15873450.7758,0.0,15873450.7758,0.0
POOL-07,Equity,15873450.7758,1885439.95,13988010.825800002,0.0
POOL-08,AAA,453031243.1265,0.0,453031243.1265,0.0
POOL-08,AA,26648896.654499996,0.0,26648896.654499996,0.0
POOL-08,A,21319117.3236,0.0,21319117.3236,0.0
POOL-08,BBB,15989337.9927,0.0,15989337.9927,0.0
POOL-08,Equity,15989337.9927,1888646.28,14100691.712699998,1.862645149230957e-09
POOL-09,AAA,460303717.726,0.0,460303717.726,0.0
POOL-09,AA,27076689.27799999,0.0,27076689.27799999,0.0
POOL-09,A,21661351.4224,0.0,21661351.4224,0.0
POOL-09,BBB,16246013.566799998,0.0,16246013.566799998,0.0
POOL-09,Equity,16246013.566799998,2371413.36,13874600.206799928,7.078051567077637e-08
POOL-10,AAA,451044488.342,0.0,451044488.342,0.0
POOL-10,AA,26532028.725999992,0.0,26532028.725999992,0.0
POOL-10,A,21225622.980800003,0.0,21225622.980800003,0.0
POOL-10,BBB,15919217.235599998,0.0,15919217.235599998,0.0
POOL-10,Equity,15919217.235599998,2215874.34,13703342.895599999,0.0
