customer_id,age,income,employment_type,employment_years,credit_score,state,city,customer_segment
CUST-000001,47,51818.54,Salaried,19,759,GA,City_0,Medium
CUST-000002,40,132708.88,Self-Employed,1,690,NY,City_1,Premium
CUST-000003,49,54091.46,Salaried,2,776,NY,City_2,Medium
CUST-000004,60,89341.13,Salaried,6,609,IL,City_3,High
CUST-000005,39,69643.65,Business Owner,5,667,CA,City_4,Medium
CUST-000006,39,82645.4,Salaried,10,594,TX,City_5,High
CUST-000007,60,78402.62,Salaried,3,649,MI,City_6,High
CUST-000008,51,73575.25,Salaried,1,625,NC,City_7,Medium
CUST-000009,36,56452.97,Professional,9,576,NC,City_8,Medium
CUST-000010,48,50333.22,Salaried,3,714,IL,City_9,Medium
CUST-000011,36,90656.68,Salaried,3,826,NY,City_10,High
CUST-000012,36,77409.68,Self-Employed,12,658,PA,City_11,High
CUST-000013,44,49512.71,Salaried,2,538,IL,City_12,Low
CUST-000014,19,92159.3,Business Owner,7,615,IL,City_13,High
CUST-000015,21,56823.85,Self-Employed,23,666,CA,City_14,Medium
CUST-000016,35,190709.65,Salaried,3,668,GA,City_15,Premium
CUST-000017,29,333951.68,Professional,3,765,NC,City_16,Premium
CUST-000018,45,172589.55,Salaried,1,572,FL,City_17,Premium
CUST-000019,31,166914.69,Professional,2,702,IL,City_18,Premium
CUST-000020,25,122240.27,Salaried,1,600,PA,City_19,Premium
CUST-000021,59,66127.8,Salaried,2,618,FL,City_20,Medium
CUST-000022,39,23999.95,Salaried,2,599,TX,City_21,Low
CUST-000023,42,40547.92,Salaried,5,634,FL,City_22,Low
CUST-000024,24,49971.08,Salaried,5,759,CA,City_23,Low
CUST-000025,35,154799.45,Salaried,15,679,TX,City_24,Premium
CUST-000026,43,87458.75,Business Owner,1,744,FL,City_25,High
CUST-000027,28,50489.94,Salaried,0,606,IL,City_26,Medium
CUST-000028,46,24788.41,Salaried,9,608,IL,City_27,Low
CUST-000029,34,301381.31,Salaried,0,605,NY,City_28,Premium
CUST-000030,38,103283.36,Salaried,0,829,OH,City_29,High
CUST-000031,34,129359.33,Salaried,2,804,TX,City_30,Premium
CUST-000032,64,54385.18,Salaried,2,669,PA,City_31,Medium
CUST-000033,41,69014.78,Salaried,5,725,NC,City_32,Medium
CUST-000034,29,61018.0,Salaried,8,765,GA,City_33,Medium
CUST-000035,51,77951.76,Professional,13,814,NY,City_34,High
CUST-000036,27,227002.36,Professional,0,533,CA,City_35,Premium
CUST-000037,44,36412.77,Self-Employed,1,794,GA,City_36,Low
CUST-000038,18,73165.91,Salaried,1,691,TX,City_37,Medium
CUST-000039,26,93131.53,Business Owner,5,653,TX,City_38,High
CUST-000040,44,69923.22,Salaried,15,601,PA,City_39,Medium
CUST-000041,50,136276.11,Salaried,0,709,IL,City_40,Premium
CUST-000042,44,26472.37,Business Owner,0,787,IL,City_41,Low
CUST-000043,40,232234.94,Salaried,13,620,IL,City_42,Premium
CUST-000044,38,32956.11,Salaried,7,706,PA,City_43,Low
CUST-000045,24,38069.88,Self-Employed,6,700,OH,City_44,Low
CUST-000046,33,57272.25,Business Owner,17,794,PA,City_45,Medium
CUST-000047,36,50852.87,Self-Employed,1,690,NY,City_46,Medium
CUST-000048,54,96755.79,Salaried,8,661,IL,City_47,High
CUST-000049,46,90260.8,Salaried,1,629,MI,City_48,High
CUST-000050,20,80288.17,Salaried,1,611,PA,City_49,High
CUST-000051,45,32032.76,Salaried,3,521,NC,City_50,Low
CUST-000052,37,68980.0,Professional,5,560,MI,City_51,Medium
CUST-000053,33,75893.24,Salaried,1,561,TX,City_52,High
CUST-000054,49,157095.32,Professional,3,678,GA,City_53,Premium
CUST-000055,54,84534.04,Salaried,0,704,GA,City_54,High
CUST-000056,53,94356.73,Self-Employed,13,667,MI,City_55,High
CUST-000057,31,243467.88,Professional,6,641,PA,City_56,Premium
CUST-000058,38,37390.78,Professional,20,504,IL,City_57,Low
CUST-000059,45,59419.56,Professional,1,694,IL,City_58,Medium
CUST-000060,53,37938.95,Salaried,0,723,FL,City_59,Low
CUST-000061,36,196644.94,Self-Employed,0,628,NC,City_60,Premium
CUST-000062,39,204873.83,Salaried,16,731,NC,City_61,Premium
CUST-000063,28,187654.73,Self-Employed,0,645,FL,City_62,Premium
CUST-000064,27,104159.82,Salaried,0,634,OH,City_63,High
CUST-000065,51,94234.76,Salaried,6,559,IL,City_64,High
CUST-000066,58,56977.89,Business Owner,19,488,TX,City_65,Medium
CUST-000067,41,119002.92,Salaried,4,592,PA,City_66,Premium
CUST-000068,54,34766.96,Salaried,4,594,TX,City_67,Low
CUST-000069,46,34695.85,Salaried,4,723,TX,City_68,Low
CUST-000070,34,58297.82,Salaried,1,707,IL,City_69,Medium
CUST-000071,46,232685.72,Salaried,1,732,FL,City_70,Premium
CUST-000072,60,55114.61,Self-Employed,0,546,NC,City_71,Medium
CUST-000073,41,59767.43,Salaried,3,678,FL,City_72,Medium
CUST-000074,60,89134.94,Salaried,1,626,NC,City_73,High
CUST-000075,18,128593.46,Salaried,1,756,CA,City_74,Premium
CUST-000076,51,158967.62,Salaried,3,655,TX,City_75,Premium
CUST-000077,43,38292.82,Salaried,8,785,OH,City_76,Low
CUST-000078,38,70773.4,Self-Employed,6,543,FL,City_77,Medium
CUST-000079,43,85815.21,Self-Employed,7,641,NC,City_78,High
CUST-000080,18,91135.5,Business Owner,0,607,OH,City_79,High
CUST-000081,39,126086.0,Salaried,9,792,NC,City_80,Premium
CUST-000082,46,122674.99,Salaried,1,531,PA,City_81,Premium
CUST-000083,59,76156.07,Self-Employed,1,551,NC,City_82,High
CUST-000084,35,149742.27,Salaried,6,673,FL,City_83,Premium
CUST-000085,32,134123.25,Self-Employed,4,704,GA,City_84,Premium
CUST-000086,35,127806.48,Business Owner,1,626,OH,City_85,Premium
CUST-000087,52,54609.23,Salaried,6,645,IL,City_86,Medium
CUST-000088,45,115033.89,Salaried,4,730,NC,City_87,Premium
CUST-000089,35,154412.67,Salaried,14,685,CA,City_88,Premium
CUST-000090,48,55101.57,Salaried,2,640,CA,City_89,Medium
CUST-000091,43,81160.08,Salaried,11,696,NC,City_90,High
CUST-000092,53,191777.5,Salaried,8,560,CA,City_91,Premium
CUST-000093,33,95143.12,Self-Employed,0,730,TX,City_92,High
CUST-000094,38,71149.05,Salaried,0,586,CA,City_93,Medium
CUST-000095,37,180269.02,Professional,0,744,IL,City_94,Premium
CUST-000096,24,56553.59,Self-Employed,1,648,PA,City_95,Medium
CUST-000097,45,27107.56,Self-Employed,6,647,OH,City_96,Low
CUST-000098,45,46992.47,Salaried,7,768,IL,City_97,Low
CUST-000099,42,148278.72,Professional,7,704,NY,City_98,Premium
CUST-000100,39,102504.26,Salaried,15,772,MI,City_99,High
CUST-000101,25,78128.51,Salaried,3,573,CA,City_0,High
CUST-000102,36,141764.3,Salaried,1,850,IL,City_1,Premium
CUST-000103,37,82897.37,Salaried,8,704,OH,City_2,High
CUST-000104,32,65633.44,Salaried,1,763,IL,City_3,Medium
CUST-000105,40,123786.76,Salaried,2,684,GA,City_4,Premium
CUST-000106,46,59636.81,Self-Employed,0,611,PA,City_5,Medium
CUST-000107,64,100648.66,Salaried,6,804,PA,City_6,High
CUST-000108,44,46555.67,Salaried,8,651,NY,City_7,Low
CUST-000109,45,39835.54,Professional,0,669,CA,City_8,Low
CUST-000110,41,44614.18,Self-Employed,1,694,MI,City_9,Low
CUST-000111,18,73836.21,Salaried,3,786,IL,City_10,Medium
CUST-000112,41,50841.69,Salaried,0,714,GA,City_11,Medium
CUST-000113,42,51705.45,Professional,0,677,FL,City_12,Medium
CUST-000114,71,68403.44,Salaried,3,786,FL,City_13,Medium
CUST-000115,39,71819.49,Salaried,10,552,TX,City_14,Medium
CUST-000116,45,29572.87,Salaried,7,688,FL,City_15,Low
CUST-000117,41,20000.0,Salaried,2,600,IL,City_16,Low
CUST-000118,27,95341.87,Self-Employed,1,555,GA,City_17,High
CUST-000119,55,81534.06,Business Owner,11,751,CA,City_18,High
CUST-000120,51,32961.73,Salaried,7,520,OH,City_19,Low
CUST-000121,51,97441.78,Professional,8,630,GA,City_20,High
CUST-000122,31,97335.07,Salaried,12,512,IL,City_21,High
CUST-000123,58,62562.16,Self-Employed,11,579,IL,City_22,Medium
CUST-000124,25,243011.29,Self-Employed,2,664,IL,City_23,Premium
CUST-000125,49,160615.79,Salaried,7,645,CA,City_24,Premium
CUST-000126,68,59029.97,Business Owner,13,755,GA,City_25,Medium
CUST-000127,30,59694.24,Self-Employed,0,847,PA,City_26,Medium
CUST-000128,35,31273.14,Salaried,7,522,TX,City_27,Low
CUST-000129,43,156385.42,Salaried,5,630,FL,City_28,Premium
CUST-000130,35,86971.47,Self-Employed,4,618,CA,City_29,High
CUST-000131,23,122894.31,Salaried,5,636,GA,City_30,Premium
CUST-000132,42,20845.07,Self-Employed,18,779,MI,City_31,Low
CUST-000133,29,119582.36,Salaried,10,684,NY,City_32,Premium
CUST-000134,47,55240.7,Salaried,20,728,CA,City_33,Medium
CUST-000135,30,106492.09,Salaried,6,601,FL,City_34,High
CUST-000136,60,102536.89,Salaried,0,523,IL,City_35,High
CUST-000137,32,74076.65,Business Owner,2,780,OH,City_36,Medium
CUST-000138,38,49357.34,Salaried,0,825,GA,City_37,Low
CUST-000139,51,95278.59,Self-Employed,3,670,NY,City_38,High
CUST-000140,27,45419.49,Salaried,1,748,OH,City_39,Low
CUST-000141,44,140869.29,Business Owner,1,741,IL,City_40,Premium
CUST-000142,57,48642.54,Salaried,0,742,FL,City_41,Low
CUST-000143,22,76030.47,Salaried,5,621,PA,City_42,High
CUST-000144,44,47942.98,Self-Employed,12,813,MI,City_43,Low
CUST-000145,45,82494.36,Salaried,5,684,OH,City_44,High
CUST-000146,51,40383.92,Salaried,5,710,MI,City_45,Low
CUST-000147,27,46154.83,Self-Employed,12,672,FL,City_46,Low
CUST-000148,26,297140.72,Professional,2,639,IL,City_47,Premium
CUST-000149,48,124464.24,Salaried,11,649,FL,City_48,Premium
CUST-000150,45,93611.92,Salaried,6,850,PA,City_49,High
CUST-000151,45,102100.57,Salaried,0,657,MI,City_50,High
CUST-000152,46,90095.71,Salaried,6,703,FL,City_51,High
CUST-000153,33,71104.66,Salaried,0,641,NC,City_52,Medium
CUST-000154,44,118098.64,Salaried,6,725,FL,City_53,Premium
CUST-000155,45,45663.41,Salaried,1,716,FL,City_54,Low
CUST-000156,33,195353.22,Self-Employed,0,675,PA,City_55,Premium
CUST-000157,64,80615.35,Salaried,4,553,GA,City_56,High
CUST-000158,47,121329.66,Salaried,5,731,PA,City_57,Premium
CUST-000159,27,192773.83,Salaried,12,785,CA,City_58,Premium
CUST-000160,49,100706.73,Salaried,0,639,TX,City_59,High
CUST-000161,30,46117.62,Salaried,22,665,NY,City_60,Low
CUST-000162,51,155899.98,Salaried,7,556,GA,City_61,Premium
CUST-000163,55,207514.76,Salaried,14,578,FL,City_62,Premium
CUST-000164,32,23326.14,Salaried,1,562,PA,City_63,Low
CUST-000165,53,70552.97,Salaried,3,661,NY,City_64,Medium
CUST-000166,46,89331.22,Business Owner,4,670,IL,City_65,High
CUST-000167,51,64011.01,Self-Employed,5,630,CA,City_66,Medium
CUST-000168,64,35513.85,Salaried,4,577,FL,City_67,Low
CUST-000169,39,44152.78,Salaried,4,576,FL,City_68,Low
CUST-000170,32,24729.91,Salaried,19,570,GA,City_69,Low
CUST-000171,31,133027.16,Salaried,0,663,PA,City_70,Premium
CUST-000172,32,170992.94,Professional,2,636,IL,City_71,Premium
CUST-000173,41,169569.87,Salaried,5,668,MI,City_72,Premium
CUST-000174,46,73681.08,Professional,8,750,CA,City_73,Medium
CUST-000175,45,88291.01,Professional,5,695,FL,City_74,High
CUST-000176,51,142514.26,Salaried,5,686,GA,City_75,Premium
CUST-000177,42,65219.37,Salaried,8,777,PA,City_76,Medium
CUST-000178,59,42432.69,Salaried,13,632,PA,City_77,Low
CUST-000179,38,53253.21,Business Owner,3,718,MI,City_78,Medium
CUST-000180,74,83330.68,Professional,1,699,NY,City_79,High
CUST-000181,49,48876.91,Salaried,10,780,NC,City_80,Low
CUST-000182,31,99630.29,Self-Employed,13,686,CA,City_81,High
CUST-000183,29,33262.35,Salaried,13,762,CA,City_82,Low
CUST-000184,47,64838.28,Salaried,5,538,FL,City_83,Medium
CUST-000185,39,95661.69,Salaried,5,677,OH,City_84,High
CUST-000186,50,81206.49,Self-Employed,0,632,TX,City_85,High
CUST-000187,47,48250.94,Salaried,0,760,NC,City_86,Low
CUST-000188,41,116572.89,Salaried,1,674,PA,City_87,Premium
CUST-000189,31,87792.99,Salaried,1,601,OH,City_88,High
CUST-000190,23,21414.97,Self-Employed,1,659,PA,City_89,Low
CUST-000191,36,98561.3,Salaried,2,627,CA,City_90,High
CUST-000192,52,58216.55,Salaried,3,582,FL,City_91,Medium
CUST-000193,44,54735.32,Self-Employed,3,722,GA,City_92,Medium
CUST-000194,27,45582.9,Salaried,15,729,CA,City_93,Low
CUST-000195,44,41086.17,Professional,10,645,GA,City_94,Low
CUST-000196,46,84896.94,Salaried,2,668,GA,City_95,High
CUST-000197,31,104074.17,Self-Employed,10,706,OH,City_96,High
CUST-000198,43,82219.42,Self-Employed,0,775,PA,City_97,High
CUST-000199,42,132576.55,Self-Employed,9,629,PA,City_98,Premium
CUST-000200,28,106306.97,Salaried,0,664,GA,City_99,High
CUST-000201,46,22495.4,Business Owner,1,728,IL,City_0,Low
CUST-000202,48,43275.05,Self-Employed,1,610,FL,City_1,Low
CUST-000203,54,153015.56,Salaried,1,704,NC,City_2,Premium
CUST-000204,54,35017.85,Salaried,2,682,OH,City_3,Low
CUST-000205,25,20000.0,Salaried,5,691,PA,City_4,Low
CUST-000206,30,225058.0,Salaried,3,699,IL,City_5,Premium
CUST-000207,48,89608.99,Salaried,15,645,GA,City_6,High
CUST-000208,48,49782.03,Self-Employed,8,733,NY,City_7,Low
CUST-000209,48,45080.45,Professional,6,583,TX,City_8,Low
CUST-000210,85,109413.23,Self-Employed,21,737,NC,City_9,High
CUST-000211,48,99911.7,Salaried,6,565,PA,City_10,High
CUST-000212,55,91268.85,Salaried,0,666,CA,City_11,High
CUST-000213,53,66969.57,Salaried,3,774,TX,City_12,Medium
CUST-000214,49,34783.33,Salaried,1,782,IL,City_13,Low
CUST-000215,38,73398.92,Salaried,0,756,FL,City_14,Medium
CUST-000216,51,142106.27,Professional,26,729,OH,City_15,Premium
CUST-000217,32,54180.31,Salaried,12,687,NY,City_16,Medium
CUST-000218,39,107568.66,Professional,4,615,PA,City_17,High
