loan_id,report_date,balance,delinquency_days,payment_received
LN-0000002,2023-01-31,19602.07,0,941.28
LN-0000003,2023-01-31,3264.11,0,109.24
LN-0000004,2023-01-31,445022.55,0,2123.02
LN-0000006,2023-01-31,19456.47,0,483.45
LN-0000010,2023-01-31,26071.54,0,656.79
LN-0000011,2023-01-31,15043.27,0,1367.57
LN-0000012,2023-01-31,23149.39,0,2104.49
LN-0000013,2023-01-31,40963.52,0,1602.02
LN-0000014,2023-01-31,11820.6,0,1074.6
LN-0000016,2023-01-31,27825.7,0,612.08
LN-0000018,2023-01-31,26769.53,0,593.53
LN-0000019,2023-01-31,321565.21,0,1627.18
LN-0000020,2023-01-31,231179.72,0,1018.71
LN-0000021,2023-01-31,1630.91,0,60.58
LN-0000023,2023-01-31,4580.62,0,416.42
LN-0000024,2023-01-31,7589.48,0,368.53
LN-0000025,2023-01-31,5950.78,0,540.98
LN-0000026,2023-01-31,8724.69,30,625.41
LN-0000028,2023-01-31,8450.02,0,472.24
LN-0000029,2023-01-31,6391.11,0,296.72
LN-0000030,2023-01-31,14019.59,0,466.12
LN-0000031,2023-01-31,464814.9,0,2569.19
LN-0000032,2023-01-31,3876.11,0,163.21
LN-0000034,2023-01-31,366161.38,0,1631.36
LN-0000036,2023-01-31,8565.75,0,457.46
LN-0000037,2023-01-31,316260.14,0,1522.48
LN-0000039,2023-01-31,8616.77,0,260.77
LN-0000040,2023-01-31,14529.24,0,1320.84
LN-0000042,2023-01-31,2467.42,0,105.28
LN-0000044,2023-01-31,17701.15,0,373.92
LN-0000046,2023-01-31,10978.54,0,448.43
LN-0000047,2023-01-31,3206.79,0,148.89
LN-0000050,2023-01-31,12312.96,60,1119.36
LN-0000051,2023-01-31,297378.29,0,1425.4
LN-0000052,2023-01-31,210399.31,0,903.08
LN-0000053,2023-01-31,385221.8,0,2904.45
LN-0000054,2023-01-31,26026.52,0,733.4
LN-0000055,2023-01-31,19861.53,0,840.78
LN-0000056,2023-01-31,269034.8,0,1176.55
LN-0000057,2023-01-31,14661.69,0,264.26
LN-0000058,2023-01-31,3178.83,0,145.86
LN-0000059,2023-01-31,19480.08,0,577.43
LN-0000060,2023-01-31,11991.1,0,1090.1
LN-0000061,2023-01-31,26235.42,0,504.51
LN-0000062,2023-01-31,4988.24,0,231.12
LN-0000064,2023-01-31,4518.14,0,410.74
LN-0000065,2023-01-31,33201.27,30,1167.26
LN-0000066,2023-01-31,12547.81,0,1140.71
LN-0000067,2023-01-31,304259.7,0,1412.87
LN-0000068,2023-01-31,10688.29,0,381.36
LN-0000069,2023-01-31,294293.54,0,1244.78
LN-0000070,2023-01-31,4683.58,0,425.78
LN-0000071,2023-01-31,16058.03,0,1149.17
LN-0000072,2023-01-31,6263.91,0,319.18
LN-0000073,2023-01-31,5448.98,0,178.87
LN-0000074,2023-01-31,11398.34,0,677.42
LN-0000076,2023-01-31,21040.01,0,889.05
LN-0000077,2023-01-31,24020.59,0,879.12
LN-0000078,2023-01-31,274867.36,0,1445.3
LN-0000079,2023-01-31,8292.02,0,753.82
LN-0000080,2023-01-31,384388.75,0,1930.81
LN-0000083,2023-01-31,280683.85,0,1165.4
LN-0000084,2023-01-31,26908.42,0,505.41
LN-0000086,2023-01-31,17947.26,0,450.52
LN-0000087,2023-01-31,258450.51,0,1224.38
LN-0000088,2023-01-31,307997.96,0,1354.38
LN-0000092,2023-01-31,273763.72,0,1433.98
LN-0000093,2023-01-31,268597.43,0,2225.27
LN-0000094,2023-01-31,264563.75,0,1971.82
LN-0000095,2023-01-31,3493.77,0,121.69
LN-0000096,2023-01-31,11477.18,30,1043.38
LN-0000097,2023-01-31,15508.06,0,790.28
LN-0000098,2023-01-31,19667.12,0,695.18
LN-0000099,2023-01-31,25956.96,0,677.44
LN-0000100,2023-01-31,19822.8,0,450.49
LN-0000101,2023-01-31,261421.98,0,1381.31
LN-0000102,2023-01-31,20992.38,0,358.61
LN-0000103,2023-01-31,497982.61,30,1943.54
LN-0000105,2023-01-31,21775.21,30,704.65
LN-0000106,2023-01-31,230797.97,0,973.48
LN-0000107,2023-01-31,306588.05,0,2579.1
LN-0000110,2023-01-31,6785.13,0,311.12
LN-0000111,2023-01-31,17531.24,0,739.71
LN-0000113,2023-01-31,263783.39,0,1224.28
LN-0000115,2023-01-31,382791.79,0,1769.29
LN-0000116,2023-01-31,272880.94,0,1184.47
LN-0000118,2023-01-31,29474.28,0,686.87
LN-0000119,2023-01-31,24594.03,0,793.29
LN-0000120,2023-01-31,521994.32,0,2571.73
LN-0000121,2023-01-31,19648.18,0,1001.58
LN-0000122,2023-01-31,2778.5,0,107.25
LN-0000123,2023-01-31,329197.79,0,1695.09
LN-0000125,2023-01-31,13548.37,0,1231.67
LN-0000126,2023-01-31,290390.02,0,1488.92
LN-0000127,2023-01-31,14131.26,0,1284.66
LN-0000128,2023-01-31,5530.96,0,295.34
LN-0000129,2023-01-31,31221.03,0,837.26
LN-0000130,2023-01-31,403856.03,0,2733.88
LN-0000131,2023-01-31,38848.23,0,1381.21
LN-0000133,2023-01-31,213590.82,0,1106.07
LN-0000134,2023-01-31,13827.11,0,446.87
LN-0000136,2023-01-31,6678.1,0,607.1
LN-0000137,2023-01-31,10250.62,0,473.81
LN-0000138,2023-01-31,13031.47,0,331.9
LN-0000139,2023-01-31,22990.32,0,613.2
LN-0000140,2023-01-31,294914.53,0,1630.54
LN-0000141,2023-01-31,226186.2,0,1212.77
LN-0000142,2023-01-31,36103.76,0,1127.34
LN-0000143,2023-01-31,541891.15,0,4228.99
LN-0000144,2023-01-31,2968.09,0,113.37
LN-0000145,2023-01-31,392917.23,0,1836.8
LN-0000147,2023-01-31,155061.07,0,666.99
LN-0000148,2023-01-31,327628.56,0,1567.58
LN-0000149,2023-01-31,28860.36,0,935.11
LN-0000150,2023-01-31,6710.94,0,204.5
LN-0000152,2023-01-31,13009.06,0,433.32
LN-0000153,2023-01-31,188638.35,0,754.1
LN-0000154,2023-01-31,505316.96,0,3919.07
LN-0000155,2023-01-31,218089.58,0,1065.34
LN-0000156,2023-01-31,26946.99,0,650.28
LN-0000157,2023-01-31,192670.29,0,758.13
LN-0000159,2023-01-31,2332.22,0,212.02
LN-0000160,2023-01-31,14501.19,0,1318.29
LN-0000161,2023-01-31,10172.15,0,404.59
LN-0000163,2023-01-31,257234.84,30,1202.76
LN-0000166,2023-01-31,353202.37,0,1669.79
LN-0000167,2023-01-31,213018.4,0,965.23
LN-0000168,2023-01-31,17737.75,30,621.53
LN-0000169,2023-01-31,247704.56,0,1107.31
LN-0000170,2023-01-31,427149.5,0,2123.82
LN-0000171,2023-01-31,184996.55,60,942.75
LN-0000172,2023-01-31,466434.52,0,2284.53
LN-0000174,2023-01-31,168487.63,0,823.41
LN-0000175,2023-01-31,10135.82,0,275.85
LN-0000176,2023-01-31,35707.76,0,709.4
LN-0000177,2023-01-31,186328.86,0,894.4
LN-0000178,2023-01-31,7917.11,0,205.6
LN-0000180,2023-01-31,9129.96,0,377.17
LN-0000181,2023-01-31,374579.25,0,1540.53
LN-0000182,2023-01-31,17819.59,0,455.25
LN-0000183,2023-01-31,10718.67,0,493.05
LN-0000185,2023-01-31,46926.04,0,1144.18
LN-0000187,2023-01-31,339829.64,0,1668.66
LN-0000188,2023-01-31,7243.8,0,431.12
LN-0000191,2023-01-31,8403.07,0,429.05
LN-0000194,2023-01-31,12993.2,30,1181.2
LN-0000197,2023-01-31,7896.67,0,262.01
LN-0000198,2023-01-31,9866.17,0,526.08
LN-0000199,2023-01-31,10774.45,0,445.03
LN-0000200,2023-01-31,12816.17,30,413.87
LN-0000201,2023-01-31,20112.67,0,599.91
LN-0000202,2023-01-31,271955.9,0,1146.52
LN-0000203,2023-01-31,206255.16,0,1534.45
LN-0000204,2023-01-31,7491.08,0,316.05
LN-0000205,2023-01-31,19137.13,0,405.89
LN-0000206,2023-01-31,17369.55,0,798.97
LN-0000207,2023-01-31,3163.03,0,117.37
LN-0000208,2023-01-31,12424.94,0,201.06
LN-0000209,2023-01-31,438398.97,0,2013.27
LN-0000210,2023-01-31,328391.5,0,1478.43
LN-0000211,2023-01-31,3399.71,0,243.33
LN-0000216,2023-01-31,316935.96,0,1635.03
LN-0000217,2023-01-31,19172.03,0,555.27
LN-0000219,2023-01-31,284437.54,0,1406.57
LN-0000220,2023-01-31,4772.68,0,433.88
LN-0000221,2023-01-31,8188.51,0,744.41
LN-0000222,2023-01-31,2121.73,0,78.39
LN-0000224,2023-01-31,19332.48,0,851.32
LN-0000225,2023-01-31,588795.1,0,3200.72
LN-0000226,2023-01-31,192424.27,0,1568.71
LN-0000227,2023-01-31,376075.62,30,1637.57
LN-0000231,2023-01-31,17388.27,0,929.42
LN-0000232,2023-01-31,192412.66,0,753.4
LN-0000233,2023-01-31,2437.27,0,221.57
LN-0000235,2023-01-31,330582.94,0,2835.6
LN-0000237,2023-01-31,417154.98,0,2121.12
LN-0000238,2023-01-31,15291.95,0,367.12
LN-0000239,2023-01-31,158549.41,0,781.56
LN-0000240,2023-01-31,308878.6,0,1455.25
LN-0000242,2023-01-31,12878.92,0,483.73
LN-0000243,2023-01-31,214571.03,0,1023.94
LN-0000244,2023-01-31,6879.51,30,625.41
