loan_id,customer_id,loan_type,origination_date,maturity_date,term_months,interest_rate,original_principal,monthly_payment,dti,collateral_value,ltv,credit_score_at_origination,current_balance,current_credit_score,risk_grade,default_flag,delinquency_days,recovery_amount,prepayment_flag,loan_status,pool_id
LN-0000001,CUST-042754,Auto,2021-09-10,2027-09-10 10:55:11.999999991,72,0.0501,32222.26,519.09,0.12,36509.45,0.88,679,21255.52,643,Fair,0,55,0.0,0,Delinquent,POOL-01
LN-0000002,CUST-012504,Auto,2021-10-05,2024-10-04 17:27:36.000000000,36,0.0387,31944.48,941.28,0.24,36348.11,0.88,793,9247.99,791,Very Good,0,0,0.0,0,Current,POOL-07
LN-0000003,CUST-026881,Credit Card,2021-12-04,2021-12-04 00:00:00.000000000,0,0.179,2184.72,109.24,0.03,0.0,0.0,690,2062.47,707,Good,0,0,0.0,0,Current,POOL-01
LN-0000004,CUST-038723,Mortgage,2021-04-15,2051-04-15 06:35:59.999999965,360,0.0403,443083.36,2123.02,0.22,595410.85,0.74,677,421669.33,701,Good,0,0,0.0,0,Current,POOL-01
LN-0000005,CUST-005579,Auto,2021-01-12,2027-01-12 10:55:11.999999991,72,0.0504,37237.18,600.39,0.09,44307.36,0.84,676,0.0,645,Fair,0,0,0.0,1,Prepaid,POOL-06
LN-0000006,CUST-003739,Auto,2021-07-06,2026-07-06 05:06:00.000000008,60,0.0442,25982.83,483.45,0.09,29308.98,0.89,738,14138.52,745,Very Good,0,0,0.0,0,Current,POOL-04
LN-0000007,CUST-010860,Personal,2020-01-15,2021-01-14 05:49:12.000000000,12,0.0996,20574.81,1808.47,0.33,0.0,0.0,684,0.0,653,Fair,0,0,0.0,1,Prepaid,POOL-06
LN-0000008,CUST-049260,Personal,2022-04-05,2025-04-04 17:27:36.000000000,36,0.1093,9753.64,319.0,0.03,0.0,0.0,587,0.0,601,Fair,0,0,0.0,1,Prepaid,POOL-04
LN-0000009,CUST-036255,Auto,2022-09-18,2027-09-18 05:06:00.000000008,60,0.0596,24558.83,474.33,0.11,30164.22,0.81,584,19085.68,596,Fair,0,39,0.0,0,Delinquent,POOL-06
LN-0000010,CUST-001988,Auto,2021-07-02,2026-07-02 05:06:00.000000008,60,0.0588,34071.17,656.79,0.04,47630.16,0.72,592,18846.85,609,Fair,0,0,0.0,0,Current,POOL-03
LN-0000011,CUST-000699,Personal,2022-05-14,2023-05-14 05:49:12.000000000,12,0.1068,15499.66,1367.57,0.18,0.0,0.0,612,0.0,618,Fair,0,0,0.0,0,Current,POOL-01
LN-0000012,CUST-035558,Personal,2022-05-17,2023-05-17 05:49:12.000000000,12,0.0893,24073.58,2104.49,0.42,0.0,0.0,787,0.0,789,Very Good,0,0,0.0,0,Current,POOL-08
LN-0000013,CUST-017330,Auto,2022-03-12,2025-03-11 17:27:36.000000000,36,0.0439,53943.96,1602.02,0.6,60122.39,0.9,741,23341.3,778,Very Good,0,0,0.0,0,Current,POOL-01
LN-0000014,CUST-046340,Personal,2020-11-23,2021-11-23 05:49:12.000000000,12,0.1016,12212.75,1074.6,0.11,0.0,0.0,664,0.0,667,Fair,0,0,0.0,0,Current,POOL-01
LN-0000015,CUST-036008,Mortgage,2022-07-06,2037-07-05 15:17:59.999999982,180,0.0325,418684.75,2941.97,0.63,481681.3,0.87,755,0.0,752,Very Good,1,332,264417.06,1,Defaulted,POOL-03
LN-0000016,CUST-035205,Auto,2021-01-09,2027-01-09 10:55:11.999999991,72,0.0455,38502.66,612.08,0.14,48345.0,0.8,725,21092.82,709,Good,0,0,0.0,0,Current,POOL-03
LN-0000017,CUST-015650,Auto,2020-01-23,2025-01-22 05:06:00.000000008,60,0.0617,41077.99,797.4,0.21,51600.41,0.8,563,0.0,562,Subprime,1,95,4474.71,0,Defaulted,POOL-04
LN-0000018,CUST-011685,Auto,2022-01-19,2027-01-19 05:06:00.000000008,60,0.0523,31276.49,593.53,0.06,34064.27,0.92,657,20240.7,679,Good,0,0,0.0,0,Current,POOL-02
LN-0000019,CUST-037524,Mortgage,2020-03-06,2050-03-06 06:35:59.999999965,360,0.044,324942.14,1627.18,0.2,360607.85,0.9,640,303666.23,639,Fair,0,0,0.0,0,Current,POOL-07
LN-0000020,CUST-007148,Mortgage,2020-01-17,2050-01-16 06:35:59.999999965,360,0.0304,240396.12,1018.71,0.24,285328.13,0.84,776,219973.91,791,Very Good,0,0,0.0,0,Current,POOL-07
LN-0000021,CUST-031355,Credit Card,2021-04-27,2021-04-27 00:00:00.000000000,0,0.163,1211.66,60.58,0.0,0.0,0.0,850,964.53,838,Exceptional,0,0,0.0,0,Current,POOL-02
LN-0000022,CUST-031035,Auto,2020-03-07,2026-03-07 10:55:11.999999991,72,0.0402,36122.62,565.47,0.06,46842.27,0.77,778,0.0,763,Very Good,0,0,0.0,1,Prepaid,POOL-04
LN-0000023,CUST-001056,Personal,2020-03-24,2023-03-24 17:27:36.000000000,36,0.1018,12871.56,416.42,0.11,0.0,0.0,662,0.0,613,Fair,0,0,0.0,0,Current,POOL-01
LN-0000024,CUST-000763,Personal,2021-10-22,2024-10-21 17:27:36.000000000,36,0.0913,11567.03,368.53,0.03,0.0,0.0,767,3535.65,777,Very Good,0,0,0.0,0,Current,POOL-01
LN-0000025,CUST-007053,Personal,2021-03-23,2023-03-23 11:38:24.000000000,24,0.094,11794.25,540.98,0.03,0.0,0.0,740,0.0,741,Very Good,0,0,0.0,0,Current,POOL-10
LN-0000026,CUST-005332,Personal,2022-03-24,2024-03-23 11:38:24.000000000,24,0.1007,13543.74,625.41,0.25,0.0,0.0,673,1845.18,663,Fair,0,0,0.0,0,Current,POOL-06
LN-0000027,CUST-023707,Personal,2021-10-28,2025-10-27 23:16:48.000000000,48,0.0996,10508.89,266.33,0.04,0.0,0.0,684,0.0,699,Good,1,325,1183.41,0,Defaulted,POOL-02
LN-0000028,CUST-011281,Auto,2020-07-18,2024-07-17 23:16:48.000000000,48,0.0462,20660.3,472.24,0.09,29114.59,0.71,718,3255.38,723,Good,0,0,0.0,0,Current,POOL-10
LN-0000029,CUST-017718,Credit Card,2020-04-30,2020-04-30 00:00:00.000000000,0,0.1779,5934.34,296.72,0.06,0.0,0.0,701,3127.19,715,Good,0,0,0.0,0,Current,POOL-06
LN-0000030,CUST-022663,Personal,2021-09-02,2025-09-01 23:16:48.000000000,48,0.1068,18143.75,466.12,0.28,0.0,0.0,612,8892.27,628,Fair,0,0,0.0,0,Current,POOL-02
LN-0000031,CUST-040862,Mortgage,2021-10-24,2051-10-24 06:35:59.999999965,360,0.0555,450001.47,2569.19,0.26,480337.58,0.94,525,436553.81,511,Subprime,0,0,0.0,0,Current,POOL-04
LN-0000032,CUST-008175,Auto,2020-01-15,2025-01-14 05:06:00.000000008,60,0.0335,9004.69,163.21,0.04,12061.87,0.75,845,2080.8,850,Exceptional,0,0,0.0,0,Current,POOL-05
LN-0000033,CUST-008033,Auto,2020-08-01,2026-08-01 10:55:11.999999991,72,0.048,31017.23,496.66,0.05,39644.08,0.78,700,14890.05,694,Good,0,14,0.0,0,Delinquent,POOL-05
LN-0000034,CUST-011637,Mortgage,2021-06-23,2051-06-23 06:35:59.999999965,360,0.0343,366477.5,1631.36,0.11,462290.79,0.79,737,348216.42,737,Good,0,0,0.0,0,Current,POOL-07
LN-0000035,CUST-007040,Auto,2020-04-06,2025-04-06 05:06:00.000000008,60,0.0411,53289.05,984.05,0.06,70359.88,0.76,769,0.0,772,Very Good,0,0,0.0,1,Prepaid,POOL-07
LN-0000036,CUST-027142,Personal,2020-08-01,2024-07-31 23:16:48.000000000,48,0.0942,18236.3,457.46,0.27,0.0,0.0,738,3533.69,711,Good,0,0,0.0,0,Current,POOL-10
