pool_id,tranche_name,seniority,attachment_point,detachment_point,interest_rate
POOL-01,AAA,1,0.15,1.0,0.04
POOL-01,AA,2,0.1,0.15,0.06
POOL-01,A,3,0.06,0.1,0.08
POOL-01,BBB,4,0.03,0.06,0.11
POOL-01,Equity,5,0.0,0.03,0.2
POOL-02,AAA,1,0.15,1.0,0.04
POOL-02,AA,2,0.1,0.15,0.06
POOL-02,A,3,0.06,0.1,0.08
POOL-02,BBB,4,0.03,0.06,0.11
POOL-02,Equity,5,0.0,0.03,0.2
POOL-03,AAA,1,0.15,1.0,0.04
POOL-03,AA,2,0.1,0.15,0.06
POOL-03,A,3,0.06,0.1,0.08
POOL-03,BBB,4,0.03,0.06,0.11
POOL-03,Equity,5,0.0,0.03,0.2
POOL-04,AAA,1,0.15,1.0,0.04
POOL-04,AA,2,0.1,0.15,0.06
POOL-04,A,3,0.06,0.1,0.08
POOL-04,BBB,4,0.03,0.06,0.11
POOL-04,Equity,5,0.0,0.03,0.2
POOL-05,AAA,1,0.15,1.0,0.04
POOL-05,AA,2,0.1,0.15,0.06
POOL-05,A,3,0.06,0.1,0.08
POOL-05,BBB,4,0.03,0.06,0.11
POOL-05,Equity,5,0.0,0.03,0.2
POOL-06,AAA,1,0.15,1.0,0.04
POOL-06,AA,2,0.1,0.15,0.06
POOL-06,A,3,0.06,0.1,0.08
POOL-06,BBB,4,0.03,0.06,0.11
POOL-06,Equity,5,0.0,0.03,0.2
POOL-07,AAA,1,0.15,1.0,0.04
POOL-07,AA,2,0.1,0.15,0.06
POOL-07,A,3,0.06,0.1,0.08
POOL-07,BBB,4,0.03,0.06,0.11
POOL-07,Equity,5,0.0,0.03,0.2
POOL-08,AAA,1,0.15,1.0,0.04
POOL-08,AA,2,0.1,0.15,0.06
POOL-08,A,3,0.06,0.1,0.08
POOL-08,BBB,4,0.03,0.06,0.11
POOL-08,Equity,5,0.0,0.03,0.2
POOL-09,AAA,1,0.15,1.0,0.04
POOL-09,AA,2,0.1,0.15,0.06
POOL-09,A,3,0.06,0.1,0.08
POOL-09,BBB,4,0.03,0.06,0.11
POOL-09,Equity,5,0.0,0.03,0.2
POOL-10,AAA,1,0.15,1.0,0.04
POOL-10,AA,2,0.1,0.15,0.06
POOL-10,A,3,0.06,0.1,0.08
POOL-10,BBB,4,0.03,0.06,0.11
POOL-10,Equity,5,0.0,0.03,0.2
